customer_id,age,region,tenure_months,is_premium,monthly_spend,avg_txn_value,txns_last_30d,days_since_last_purchase,customer_service_calls,discounts_used_90d,complaints_90d,churn
1,23,North,17,1,73.18,45.79,6,68,1,1,0,0
2,62,East,25,1,83.44,42.81,6,27,0,3,0,0
3,55,East,62,0,99.01,37.2,3,49,0,2,0,0
4,43,North,8,1,83.64,50.78,6,32,2,0,0,0
5,42,North,8,1,76.84,20.91,8,3,2,0,0,0
6,66,South,22,0,57.45,27.12,3,51,1,4,0,0
7,22,East,43,0,66.3,24.11,5,36,1,3,0,0
8,57,East,58,0,87.02,25.89,5,90,2,2,1,1
9,29,East,40,1,130.39,31.82,4,63,1,1,0,1
10,23,South,36,1,106.49,30.65,14,21,2,1,0,0
11,48,North,62,1,91.01,26.2,8,73,0,3,1,0
12,73,South,13,0,77.11,25.78,1,42,2,3,0,0
13,59,North,65,0,81.12,32.47,5,68,1,5,0,1
14,61,East,23,1,91.43,31.05,5,39,0,0,0,0
15,58,North,20,0,61.17,22.37,1,68,1,0,0,1
16,62,South,68,1,144.34,29.42,7,10,1,2,0,0
17,47,South,46,0,65.99,17.05,3,48,1,2,0,0
18,25,South,31,1,100.2,33.11,6,51,0,3,0,0
19,65,East,24,0,61.72,27.75,6,93,0,0,0,1
20,43,South,32,0,87.08,35.06,3,14,2,4,0,0
21,46,West,57,0,92.9,15.46,0,37,0,4,0,0
22,39,West,11,0,84.32,24.76,6,37,1,2,0,0
23,28,West,13,1,97.27,44.43,7,47,2,0,1,0
24,70,East,22,1,80.6,25.57,6,86,1,0,1,0
25,62,East,35,1,141.24,45.14,3,89,1,2,0,0
26,54,East,58,0,97.33,21.49,3,38,0,4,0,0
27,40,South,15,1,79.24,40.69,8,44,2,0,0,0
28,64,South,56,1,111.08,33.26,4,80,1,1,0,0
29,49,East,65,0,101.96,28.67,3,53,0,4,1,1
30,43,North,31,0,84.39,37.87,2,80,1,1,0,1
31,43,North,69,0,101.94,24.03,5,100,0,3,0,0
32,30,West,64,0,106.5,32.97,4,75,0,2,0,0
33,23,North,57,1,121.52,37.2,8,10,0,3,0,0
34,49,South,27,0,60.79,18.71,5,114,0,1,1,0
35,68,East,22,0,102.62,23.84,9,89,2,0,0,0
36,21,North,62,0,120.53,23.34,4,80,0,4,0,0
37,66,West,32,0,88.01,13.71,2,83,0,2,0,0
38,65,North,3,1,82.08,38.67,7,46,0,0,0,0
39,33,West,51,0,86.34,30.26,0,23,0,3,0,0
40,54,East,25,1,87.64,41.5,8,72,0,1,0,0
41,27,North,67,1,110.58,46.44,9,1,0,2,0,0
42,61,North,61,1,77.7,42.63,7,74,2,1,1,0
43,57,South,8,0,86.95,20.18,3,76,1,3,0,0
